"country","date","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","cumulative_cases","cumulative_cases_min","cumulative_cases_max","cumulative_cases_min2","cumulative_cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","cumulative_deaths","cumulative_deaths_min","cumulative_deaths_max","cumulative_deaths_min2","cumulative_deaths_max2","key","X","ifr","popt"
"GP",2021-06-14,23.8986636728098,9.08403781561207e-05,179.722075508391,0.0129161093125471,1.82391646443781,7773455.03118214,5146603.22554505,9761114.90151003,7082305.16301077,8580079.48534479,0,0.20866036683202,3.41476715250069e-06,1.7935237638287,0.000307616813013338,0.0280116416988114,34256.3523927915,22072.3833638509,46289.2953281264,30118.19867586,38379.1285034627,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-15,23.287283145904,8.40091140747286e-05,173.828832427579,0.0121119921557447,1.7387141239404,7773478.31846529,5146776.72424001,9761114.9016551,7082307.13247738,8580079.49920737,0,0.203520497273732,3.1776114259645e-06,1.73853291975328,0.00028973600029359,0.0267618542295412,34256.5559132888,22076.8451398157,46289.2954393178,30118.4416286552,38379.1314445996,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-16,23.3287676888308,8.01902949884738e-05,174.016502151168,0.0117649303314863,1.70004634232053,7773501.64723297,5146948.30007034,9761114.90179366,7082309.06759564,8580079.5125984,0,0.198519690100611,2.95625778767951e-06,1.68709468147297,0.000272719775112073,0.0255664177439423,34256.7544329789,22081.1952707657,46289.2955436095,30118.4740185633,38379.1342327555,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-17,23.107422639984,7.59807119298768e-05,171.46523799919,0.0112791329316848,1.64798485674231,7773524.75465561,5147116.56618345,9761114.90192446,7082310.94619905,8580079.52539593,0,0.193606423405744,2.74933288025701e-06,1.63818256252063,0.000256598842093031,0.0244408461563134,34256.9480394023,22081.4253090155,46289.2956414038,30118.4975610814,38379.136875178,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-18,21.6410988815994,6.71910866181781e-05,158.277671880252,0.0101077838373852,1.51237515184889,7773546.3957545,5147274.87562304,9761114.90204056,7082312.66161395,8580079.53696062,0,0.188878743263881,2.55255767368399e-06,1.59145972698206,0.000241506093744699,0.023352173151538,34257.1369181456,22081.5549731152,46289.2957331372,30118.5201548004,38379.1393803143,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-19,25.1409654913004,7.71574197706233e-05,183.28668232051,0.0116938969265059,1.73652548919117,7773571.53671999,5147449.54423293,9761114.90217088,7082314.63974845,8580079.54990752,0,0.184278006477109,2.36875470103485e-06,1.54421201707388,0.000227058730862608,0.0223104360240395,34257.321196152,22081.6799253995,46289.2958191873,30118.5418382905,38379.14175536,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-20,23.4274789858126,6.7943017287572e-05,170.242909533798,0.0104424615438401,1.57605406064301,7773594.96419897,5147613.26257509,9761114.90228596,7082316.43717114,8580079.5615467,0,0.179774404765052,2.19773110190631e-06,1.49987628978899,0.000213425189786085,0.0213161222312918,34257.5009705568,22081.800313752,46289.2958998866,30118.579927811,38379.1440065493,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-21,20.3002242033917,5.43583976893265e-05,145.60126871878,0.00849252057884793,1.32894583128491,7773615.26442318,5147758.62357588,9761114.90237955,7082317.94407016,8580079.57126375,0,0.175379052971413,2.0388109856389e-06,1.45665434483108,0.000200589224790337,0.0203571592345949,34257.6763496098,22081.9162949584,46289.2959755595,30118.6384991827,38379.1461401346,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-22,19.7893528546842,5.03490071919561e-05,140.82488989034,0.00797393832646102,1.26668741255191,7773635.05377603,5147899.439834,9761114.90246612,7082319.37959956,8580079.58038515,0,0.171135547147334,1.89210514418197e-06,1.41497017351159,0.000188643285346524,0.0194462492506317,34257.8474851569,22082.0280604026,46289.2960465467,30118.6947266452,38379.148162947,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-23,19.8317327120369,4.81559900054432e-05,141.011920553659,0.00773194804471095,1.23971824879722,7773654.88550874,5148038.69363116,9761114.9025488,7082320.79009219,8580079.58919625,0,0.167005170346909,1.75569972503054e-06,1.37446166377788,0.000177630548152202,0.0185842898465364,34258.0144903273,22082.1357598791,46289.2961131289,30118.7487027943,38379.1500805491,"Mobility decrease",2,0.004405897,15176115
